Date,Argentina,Australia,Austria,Belgium,Bolivia,Brazil,Bulgaria,Canada,Chile,France,Germany,Hungary,Japan,Mexico,Netherlands,New Zealand,Norway,Paraguay,Peru,Poland,Russia,South Africa,Spain,Sweden,Switzerland,Ukraine,US,Uruguay
2014-02-23,78.0,182.0,1565.0,411.0,152.0,133.0,643.0,2861.0,2.0,191.0,1108.0,305.0,3311.0,1615.0,46.0,17.0,131.0,140.0,94.0,62.0,856.0,993.0,2434.0,54.0,12.0,196.0,564.0,1986.0
2014-02-16,71.0,145.0,1528.0,527.0,150.0,123.0,889.0,2999.0,3.0,341.0,1187.0,293.0,3117.0,1764.0,44.0,16.0,134.0,132.0,95.0,54.0,791.0,881.0,2615.0,78.0,19.0,257.0,583.0,2228.0
2014-02-09,70.0,132.0,1523.0,388.0,143.0,113.0,1005.0,3438.0,3.0,371.0,1149.0,218.0,2246.0,1773.0,48.0,16.0,228.0,130.0,91.0,54.0,740.0,802.0,2416.0,107.0,18.0,251.0,610.0,2496.0
2014-02-02,76.0,113.0,1401.0,230.0,130.0,105.0,1206.0,3729.0,2.0,286.0,1077.0,124.0,3099.0,1956.0,52.0,12.0,198.0,145.0,93.0,51.0,732.0,792.0,2199.0,204.0,15.0,257.0,535.0,2910.0
2014-01-26,80.0,116.0,1242.0,154.0,124.0,105.0,1407.0,4049.0,3.0,178.0,916.0,106.0,3598.0,2087.0,43.0,10.0,145.0,149.0,87.0,41.0,687.0,726.0,1863.0,363.0,12.0,171.0,456.0,3472.0
2014-01-19,72.0,120.0,1128.0,105.0,127.0,98.0,2008.0,4830.0,3.0,119.0,808.0,87.0,1444.0,1995.0,41.0,13.0,134.0,159.0,90.0,32.0,708.0,592.0,1846.0,387.0,7.0,122.0,395.0,4022.0
2014-01-12,76.0,125.0,1042.0,86.0,132.0,100.0,1516.0,5838.0,3.0,70.0,717.0,76.0,791.0,1786.0,35.0,19.0,95.0,166.0,92.0,28.0,714.0,539.0,2013.0,349.0,6.0,87.0,402.0,4486.0
2014-01-05,70.0,154.0,1095.0,124.0,123.0,110.0,999.0,5766.0,3.0,78.0,798.0,60.0,469.0,1734.0,34.0,19.0,123.0,159.0,105.0,33.0,758.0,606.0,2136.0,294.0,5.0,84.0,427.0,4691.0
2013-12-29,69.0,148.0,1074.0,107.0,101.0,107.0,790.0,5706.0,4.0,114.0,827.0,69.0,357.0,1914.0,40.0,20.0,113.0,170.0,102.0,38.0,754.0,596.0,2422.0,265.0,5.0,72.0,475.0,5008.0
2013-12-22,67.0,135.0,1003.0,90.0,96.0,112.0,618.0,4946.0,4.0,107.0,744.0,67.0,299.0,1992.0,34.0,16.0,83.0,178.0,105.0,32.0,719.0,611.0,2280.0,111.0,5.0,71.0,490.0,4625.0
2013-12-15,69.0,149.0,1074.0,102.0,109.0,114.0,477.0,3745.0,5.0,80.0,820.0,59.0,214.0,1851.0,41.0,18.0,96.0,176.0,102.0,28.0,702.0,601.0,2226.0,44.0,5.0,57.0,442.0,3196.0
2013-12-08,75.0,171.0,1090.0,124.0,129.0,114.0,443.0,2897.0,7.0,68.0,827.0,69.0,167.0,1633.0,45.0,18.0,73.0,164.0,115.0,27.0,692.0,591.0,2001.0,38.0,5.0,54.0,426.0,2238.0
2013-12-01,81.0,185.0,922.0,115.0,143.0,116.0,367.0,2354.0,6.0,55.0,773.0,52.0,142.0,1486.0,41.0,20.0,55.0,167.0,121.0,29.0,670.0,557.0,1973.0,32.0,4.0,45.0,435.0,2043.0
2013-11-24,88.0,198.0,920.0,121.0,153.0,125.0,371.0,2154.0,6.0,45.0,784.0,61.0,106.0,1376.0,43.0,21.0,54.0,202.0,125.0,27.0,677.0,502.0,1929.0,27.0,4.0,52.0,417.0,1708.0
2013-11-17,93.0,205.0,919.0,107.0,164.0,141.0,411.0,2137.0,7.0,35.0,772.0,60.0,81.0,1368.0,42.0,23.0,53.0,208.0,123.0,26.0,628.0,477.0,2130.0,25.0,4.0,43.0,397.0,1661.0
2013-11-10,98.0,235.0,871.0,70.0,150.0,143.0,401.0,2130.0,9.0,25.0,736.0,54.0,67.0,1372.0,35.0,30.0,55.0,205.0,135.0,24.0,624.0,474.0,2365.0,23.0,4.0,40.0,373.0,1628.0
2013-11-03,99.0,261.0,876.0,67.0,178.0,143.0,443.0,2031.0,12.0,21.0,737.0,43.0,48.0,1389.0,35.0,31.0,43.0,214.0,125.0,25.0,646.0,523.0,2454.0,27.0,4.0,40.0,383.0,1560.0
2013-10-27,98.0,270.0,813.0,50.0,196.0,146.0,413.0,1968.0,12.0,19.0,688.0,46.0,36.0,1279.0,30.0,35.0,52.0,210.0,126.0,26.0,662.0,498.0,2362.0,28.0,2.0,32.0,397.0,1460.0
2013-10-20,106.0,269.0,927.0,60.0,216.0,149.0,363.0,1849.0,15.0,20.0,783.0,49.0,19.0,1312.0,32.0,39.0,49.0,242.0,135.0,30.0,674.0,546.0,2356.0,29.0,4.0,35.0,429.0,1445.0
2013-10-13,113.0,288.0,1015.0,66.0,198.0,151.0,365.0,1632.0,14.0,31.0,888.0,52.0,13.0,1266.0,31.0,44.0,36.0,269.0,137.0,35.0,695.0,614.0,2529.0,35.0,3.0,41.0,444.0,1354.0
2013-10-06,128.0,317.0,1090.0,60.0,183.0,152.0,332.0,1585.0,16.0,30.0,914.0,53.0,11.0,1277.0,32.0,54.0,39.0,271.0,135.0,40.0,687.0,653.0,2756.0,28.0,3.0,41.0,525.0,1405.0
2013-09-29,136.0,371.0,1060.0,80.0,195.0,147.0,262.0,1546.0,15.0,27.0,862.0,65.0,10.0,1234.0,39.0,73.0,58.0,263.0,137.0,45.0,630.0,712.0,2964.0,25.0,3.0,44.0,567.0,1363.0
2013-09-22,130.0,438.0,1000.0,80.0,219.0,156.0,214.0,1598.0,18.0,32.0,799.0,59.0,8.0,1186.0,39.0,91.0,88.0,240.0,143.0,41.0,590.0,758.0,3095.0,29.0,3.0,40.0,596.0,1350.0
2013-09-15,125.0,542.0,805.0,60.0,203.0,169.0,160.0,1328.0,15.0,19.0,669.0,54.0,6.0,1157.0,36.0,91.0,93.0,227.0,149.0,22.0,557.0,764.0,3454.0,18.0,2.0,46.0,607.0,1259.0
2013-09-08,147.0,661.0,654.0,27.0,218.0,182.0,158.0,1016.0,17.0,6.0,515.0,41.0,5.0,1119.0,28.0,110.0,96.0,249.0,148.0,12.0,539.0,591.0,3390.0,10.0,2.0,35.0,579.0,1154.0
2013-09-01,178.0,719.0,596.0,14.0,188.0,193.0,161.0,780.0,21.0,3.0,441.0,33.0,4.0,1040.0,25.0,123.0,87.0,241.0,160.0,11.0,532.0,426.0,3265.0,9.0,3.0,33.0,484.0,1085.0
2013-08-25,186.0,932.0,538.0,15.0,206.0,204.0,167.0,660.0,28.0,3.0,387.0,29.0,3.0,898.0,22.0,103.0,77.0,261.0,143.0,11.0,540.0,347.0,3231.0,11.0,2.0,27.0,381.0,977.0
2013-08-18,180.0,914.0,517.0,12.0,227.0,207.0,160.0,627.0,37.0,2.0,324.0,34.0,3.0,837.0,19.0,86.0,47.0,257.0,152.0,12.0,545.0,305.0,3586.0,11.0,2.0,25.0,324.0,952.0
2013-08-11,170.0,788.0,453.0,10.0,195.0,202.0,147.0,698.0,41.0,2.0,301.0,29.0,3.0,835.0,17.0,94.0,30.0,244.0,147.0,12.0,538.0,297.0,3783.0,12.0,1.0,21.0,303.0,907.0
2013-08-04,164.0,764.0,452.0,9.0,169.0,197.0,133.0,707.0,35.0,2.0,264.0,28.0,3.0,852.0,15.0,91.0,24.0,260.0,144.0,12.0,513.0,260.0,3433.0,9.0,1.0,27.0,286.0,869.0
2013-07-28,173.0,684.0,433.0,8.0,175.0,195.0,130.0,635.0,40.0,1.0,255.0,26.0,4.0,848.0,16.0,93.0,21.0,273.0,132.0,12.0,502.0,243.0,3252.0,7.0,1.0,19.0,272.0,850.0
2013-07-21,187.0,575.0,481.0,8.0,157.0,192.0,140.0,690.0,66.0,1.0,264.0,29.0,4.0,835.0,15.0,76.0,21.0,334.0,146.0,12.0,505.0,240.0,2933.0,7.0,1.0,23.0,278.0,956.0
2013-07-14,191.0,528.0,490.0,10.0,166.0,199.0,135.0,710.0,118.0,2.0,313.0,32.0,5.0,838.0,18.0,76.0,19.0,319.0,146.0,12.0,506.0,225.0,2983.0,8.0,1.0,26.0,254.0,907.0
2013-07-07,216.0,508.0,546.0,12.0,188.0,200.0,131.0,715.0,148.0,2.0,351.0,27.0,5.0,837.0,18.0,73.0,18.0,361.0,149.0,12.0,502.0,215.0,3222.0,8.0,1.0,21.0,229.0,941.0
2013-06-30,232.0,492.0,567.0,15.0,173.0,205.0,130.0,839.0,101.0,3.0,375.0,26.0,6.0,858.0,20.0,71.0,23.0,381.0,145.0,13.0,507.0,238.0,3470.0,8.0,1.0,24.0,217.0,925.0
